file,title,category,subtitle,price,description,product_url,source_image_url,bytes
photos/11_stripsy__stripsy.webp,Стрипсы,Фаст-фуд,160 г (430 ккал),210 ₽,Состав: куриное филе в панировке Пищевая ценность на порцию: Б28 / Ж22 / У30,https://sushi-crazy.myctlg.ru/product/stripsy,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/f342faa1-52f9-4de7-bd9d-c7f10e6508da/raw/01-2af2abc3450e.webp,214798
photos/12_naggetsy_10_sht__naggetsy-10-sht.webp,Наггетсы (10 шт),Фаст-фуд,200 г (520 ккал),225 ₽,Состав: куриное филе в панировке Пищевая ценность на порцию: Б30 / Ж28 / У38,https://sushi-crazy.myctlg.ru/product/naggetsy-10-sht,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/a57dea5c-c036-4396-a262-8e772d2ef25b/raw/01-9b8cbc915f99.webp,240936
photos/13_kartoshka_po_derevenski__kartoshka-po-derevenski.webp,Картошка по деревенски,Фаст-фуд,180 г (420 ккал),150 ₽,"Состав: картофельные дольки, специи, соль Пищевая ценность на порцию: Б6 / Ж16 / У62",https://sushi-crazy.myctlg.ru/product/kartoshka-po-derevenski,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/78554072-6b03-422f-a4ad-80eaec70656b/raw/01-c1d2696349c7.webp,261392
photos/14_kartoshka_fri__kartoshka-fri.webp,Картошка фри,Фаст-фуд,150 г (470 ккал),135 ₽,"Состав: картофель, соль Пищевая ценность на порцию: Б5 / Ж22 / У60",https://sushi-crazy.myctlg.ru/product/kartoshka-fri,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/fcbfc0a9-b688-4656-9b16-9680b916c976/raw/01-5685406be308.webp,239750
photos/15_krylyshki_3_sht__krylyshki-3-sht.webp,Крылышки (3 шт),Фаст-фуд,180 г (520 ккал),160 ₽,"Состав: куриные крылышки в панировке/маринаде, специи Пищевая ценность на порцию: Б28 / Ж35 / У18",https://sushi-crazy.myctlg.ru/product/krylyshki-3-sht,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/10b81a02-1734-4192-990f-1d6a0a6eb405/raw/01-3e9631bbb87f.webp,257806
photos/16_krylyshki_6_sht__krylyshki-6-sht.webp,Крылышки (6 шт),Фаст-фуд,360 г (1040 ккал),290 ₽,"Состав: куриные крылышки в панировке/маринаде, специи Пищевая ценность на порцию: Б56 / Ж70 / У36",https://sushi-crazy.myctlg.ru/product/krylyshki-6-sht,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/18309b82-fd57-4dab-ad37-0f5c4428b182/raw/01-669db197c6d5.webp,257806
photos/17_biznes_lanch__biznes-lanch.webp,Бизнес Ланч,"Фаст-фуд, Популярное",430 г (1020 ккал),300 ₽,"Состав: бургер (булочка, котлета, маринованный огурец, соус), картофель фри, наггетсы, кетчуп Пищевая ценность на порцию: Б33 / Ж45 / У105",https://sushi-crazy.myctlg.ru/product/biznes-lanch,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/5cb9037b-7265-4979-9758-ada894efe893/raw/01-fc41183086f9.webp,220886
photos/18_kaliforniya_s_krabom__kaliforniya-s-krabom.webp,Калифорния с крабом,Роллы,240 г (420 ккал),300 ₽,"Состав: рис, нори, краб, тобико, огурец, майонез Пищевая ценность на порцию: Б13 / Ж13 / У60",https://sushi-crazy.myctlg.ru/product/kaliforniya-s-krabom,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/832e7209-9775-4715-8ab0-b18e24885b72/raw/01-1a3546ca8e36.webp,156362
photos/19_kaliforniya_s_lososem__kaliforniya-s-lososem.webp,Калифорния с лососем,Роллы,240 г (430 ккал),340 ₽,"Состав: рис, нори, лосось, тобико, огурец, майонез Пищевая ценность на порцию: Б16 / Ж14 / У58",https://sushi-crazy.myctlg.ru/product/kaliforniya-s-lososem,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/e95a264d-ad3d-4681-8479-6e90714f7fd8/raw/01-add74e90dc1c.webp,159956
photos/20_filadelfiya__filadelfiya.webp,Филадельфия,Роллы,250 г (480 ккал),400 ₽,"Состав: рис, нори, лосось, огурец, сыр Пищевая ценность на порцию: Б20 / Ж18 / У58",https://sushi-crazy.myctlg.ru/product/filadelfiya,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/ccb55791-7e2c-4d8b-ba9c-2f4ba557637f/raw/01-dd20044cbdef.webp,126784
photos/21_roll_nezhnyj__roll-nezhnyj.webp,Ролл нежный,Роллы,260 г (520 ккал),300 ₽,"Состав: рис, нори, краб, огурец, сыр, карамельный соус, соус спайси, унаги соус Пищевая ценность на порцию: Б16 / Ж22 / У64",https://sushi-crazy.myctlg.ru/product/roll-nezhnyj,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/7cd86a06-01f8-480c-8327-347f03b6b573/raw/01-02e989912f2f.webp,180050
photos/22_ebi_maki__ebi-maki.webp,Эби маки,Роллы,120 г (190 ккал),190 ₽,"Состав: рис, нори, креветка Пищевая ценность на порцию: Б9 / Ж2 / У34",https://sushi-crazy.myctlg.ru/product/ebi-maki,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/18e40f60-2493-40ca-ab2b-4b02dafac2cf/raw/01-98e3b733d2d4.webp,154782
photos/23_beshennyj_losos__beshennyj-losos.webp,Бешенный лосось,"Роллы, Популярное",260 г (540 ккал),350 ₽,"Состав: рис, лосось, нори, сыр, тобико, огурец, карамель, унаги соус Пищевая ценность на порцию: Б19 / Ж24 / У62",https://sushi-crazy.myctlg.ru/product/beshennyj-losos,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/1ed9df00-1f24-4acc-980d-4c1f31259394/raw/01-c4696efe5f0d.webp,267948
photos/24_goryachij_shik__goryachij-shik.webp,Горячий шик,Роллы,270 г (560 ккал),350 ₽,"Состав: рис, нори, лосось, огурец, сыр, кляр, карамель, унаги соус Пищевая ценность на порцию: Б20 / Ж26 / У62",https://sushi-crazy.myctlg.ru/product/goryachij-shik,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/5596751e-00ad-4ce1-afd8-efb33819fab2/raw/01-eef7f3924686.webp,160838
photos/25_syaki_tempura__syaki-tempura.webp,Сяки темпура,Роллы,270 г (590 ккал),340 ₽,"Состав: рис, нори, лосось, огурец, сыр, кляр, сухари, унаги соус Пищевая ценность на порцию: Б21 / Ж28 / У63",https://sushi-crazy.myctlg.ru/product/syaki-tempura,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/4d8e88c4-e051-48fb-b63c-6d32f6cb47a4/raw/01-3e9650a5c5ec.webp,164020
photos/26_roll_krejzi__roll-krejzi.webp,Ролл крэйзи,Роллы,250 г (500 ккал),330 ₽,"Состав: рис, нори, лосось, огурец, сыр, унаги соус, тобико Пищевая ценность на порцию: Б19 / Ж20 / У58",https://sushi-crazy.myctlg.ru/product/roll-krejzi,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/4c9d12dc-cca2-403e-bbec-d70fed5626f7/raw/01-5a1cec98bfe3.webp,160104
photos/27_ebi_tempura__ebi-tempura.webp,Эби темпура,Роллы,270 г (610 ккал),340 ₽,"Состав: рис, нори, огурец, сыр, креветка, кляр, сухари, унаги соус Пищевая ценность на порцию: Б20 / Ж30 / У65",https://sushi-crazy.myctlg.ru/product/ebi-tempura,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/385423e3-d17e-4615-ab4f-40742b3669b1/raw/01-8eaf9b7a55bc.webp,174546
photos/28_kani_tempura__kani-tempura.webp,Кани темпура,Роллы,270 г (620 ккал),300 ₽,"Состав: рис, нори, краб, сыр, огурец, унаги соус, кляр, сухари Пищевая ценность на порцию: Б18 / Ж32 / У66",https://sushi-crazy.myctlg.ru/product/kani-tempura,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/1edabba4-ff3c-438d-99c6-ee34f6dc45ef/raw/01-8fba70cafdbf.webp,158394
photos/29_tori_tempura__tori-tempura.webp,Тори темпура,Роллы,280 г (640 ккал),300 ₽,"Состав: рис, нори, огурец, сыр, кляр, курица, унаги соус, сухари Пищевая ценность на порцию: Б23 / Ж31 / У66",https://sushi-crazy.myctlg.ru/product/tori-tempura,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/d6e257c5-dfa6-4684-86b9-1f7b106edaaf/raw/01-9996739de14b.webp,188716
photos/30_cunami__cunami.webp,Цунами,Роллы,260 г (520 ккал),330 ₽,"Состав: рис, нори, лосось, огурец, майонез, краб, соус спайси Пищевая ценность на порцию: Б18 / Ж22 / У60",https://sushi-crazy.myctlg.ru/product/cunami,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/ff02a964-c450-438b-8e78-c49618cf3105/raw/01-68b196f0c279.webp,155408
photos/31_sakura__sakura.webp,Сакура,Роллы,250 г (470 ккал),330 ₽,"Состав: рис, нори, лосось, огурец, сыр, тобико Пищевая ценность на порцию: Б18 / Ж16 / У60",https://sushi-crazy.myctlg.ru/product/sakura,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/60b9059d-9443-4048-8062-569ad73c81b0/raw/01-132602d8d276.webp,166316
photos/32_kaliforniya_s_krevetkoj__kaliforniya-s-krevetkoj.webp,Калифорния с креветкой,Роллы,240 г (410 ккал),340 ₽,"Состав: рис, нори, майонез, огурец, креветка, тобико Пищевая ценность на порцию: Б14 / Ж12 / У60",https://sushi-crazy.myctlg.ru/product/kaliforniya-s-krevetkoj,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/b83b7240-1fc7-4886-a416-d7f88a243f0c/raw/01-9878dae188df.webp,168114
photos/33_kappa_maki__kappa-maki.webp,Каппа маки,Роллы,120 г (170 ккал),140 ₽,"Состав: рис, нори, огурец Пищевая ценность на порцию: Б4 / Ж1 / У36",https://sushi-crazy.myctlg.ru/product/kappa-maki,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/eaf8ed68-dad7-494d-acaa-c7af5c6f10b9/raw/01-5afe4c9de6d7.webp,142678
photos/34_kani_maki__kani-maki.webp,Кани маки,Роллы,120 г (180 ккал),150 ₽,"Состав: рис, нори, краб Пищевая ценность на порцию: Б6 / Ж2 / У34",https://sushi-crazy.myctlg.ru/product/kani-maki,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/84bbaf64-376f-4c41-991f-bd4a6f3d9a75/raw/01-f7425e40bc6c.webp,147604
photos/35_syaki_maki__syaki-maki.webp,Сяки маки,Роллы,120 г (200 ккал),190 ₽,"Состав: рис, нори, лосось Пищевая ценность на порцию: Б12 / Ж4 / У32",https://sushi-crazy.myctlg.ru/product/syaki-maki,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/1f8f9e47-6009-46a5-93e0-62817d3490e7/raw/01-78a278f84852.webp,147342
photos/36_ojsi__ojsi.webp,Ойси,Роллы,270 г (560 ккал),400 ₽,"Состав: рис, нори, лосось, огурец, сыр, тобико, креветка, соус спайси, унаги соус Пищевая ценность на порцию: Б22 / Ж24 / У62",https://sushi-crazy.myctlg.ru/product/ojsi,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/0719fe46-8b9b-4110-959c-037f8c99c599/raw/01-74872edf13c2.webp,149172
photos/37_krevetki_v_klyare__krevetki-v-klyare.webp,Креветки в кляре,Роллы,180 г (460 ккал),380 ₽,"Состав: креветки, кляр Пищевая ценность на порцию: Б26 / Ж22 / У38",https://sushi-crazy.myctlg.ru/product/krevetki-v-klyare,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/4cefdec8-c8a7-409e-90e5-63004848f9c6/raw/01-92485a053b5e.webp,166786
photos/38_roll_sendvich__roll-sendvich.webp,Ролл сендвич,Роллы,150 г (200 ккал),350 ₽,"Состав: рис,нори,творожный сыр,масаго,лосось,кляр,сухари,унаги соус",https://sushi-crazy.myctlg.ru/product/roll-sendvich,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/2de2e963-5127-4909-813d-e08732c0f2df/raw/01-dce9e4d24954.webp,195592
photos/39_gudzon_zapechennyj_roll__gudzonzapechennyj-roll.webp,Гудзон(запеченный ролл),Роллы,220 г (540 калл),370 ₽,"Состав: рис, сыр, Масаго, огурец, нори, лосось, спайси соус",https://sushi-crazy.myctlg.ru/product/gudzonzapechennyj-roll,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/26400279-e294-4f1c-8a26-65045174ee09/raw/01-300496d69262.webp,259304
photos/40_zapechennaya_filodelfiya__zapechennaya-filodelfiya.webp,Запеченная Филодельфия,Роллы,250 г (480 ккал),420 ₽,"Состав: рис, сыр, огурцы, нори, лосось, спайси соус",https://sushi-crazy.myctlg.ru/product/zapechennaya-filodelfiya,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/7adf1bc2-c365-44dd-9e88-df29940369ab/raw/01-472cf0e672c9.webp,131158
photos/41_set_klassik__set-klassik.webp,Сет классик,Сеты,1020г (2000ккал),1 200 ₽,Калифорния с крабом Филадельфия Бешенный лосось Горячий шик,https://sushi-crazy.myctlg.ru/product/set-klassik,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/64d007b8-b1de-4ebe-be3a-9eb5eb993d39/raw/01-df65c653774d.webp,287486
photos/42_set_miks__set-miks.webp,Сет Микс,Сеты,1060г (2200ккал),1 250 ₽,2 бешеный лосось 2 горячий шик,https://sushi-crazy.myctlg.ru/product/set-miks,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/f08b8fc9-a18a-4674-8218-200917355605/raw/01-597b2e4d7a0e.webp,244704
photos/43_tort_iz_5_porcij__tort-iz-5-porcij.webp,Торт из 5 порций,Сеты,1270г (2250ккал),1 500 ₽,2 бешеный 1 горячий 1 Калифорния с крабом 1 тори темпура,https://sushi-crazy.myctlg.ru/product/tort-iz-5-porcij,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/4a667296-44da-470b-9baf-43e18bfb6efd/raw/01-84328d4bd956.webp,326518
photos/44_tort_iz_7_porcij__tort-iz-7-porcij.webp,Торт из 7 порций,"Сеты, Популярное",1700г (2750ккал),2 100 ₽,2 бешеный 2 Калифорния с крабом 1 горячий 1 Филадельфия 1 тори темпура,https://sushi-crazy.myctlg.ru/product/tort-iz-7-porcij,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/10246b07-9872-4910-be2a-c8b174b8327a/raw/01-45eb38ba13cb.webp,250934
photos/45_margarita__margarita.webp,Маргарита,Пицца,450 г (980 ккал),370 ₽,"Состав: пицца соус, томаты, сыр моцарелла Пищевая ценность на порцию: Б38 / Ж34 / У120",https://sushi-crazy.myctlg.ru/product/margarita,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/b0cc5b95-f190-4eec-b651-c745540a28f7/raw/01-3a9895de2c0f.webp,266210
photos/46_gribnaya__gribnaya.webp,Грибная,Пицца,470 г (1050 ккал),400 ₽,"Состав: пицца соус, сыр моцарелла, грибы, помидор Пищевая ценность на порцию: Б42 / Ж40 / У125",https://sushi-crazy.myctlg.ru/product/gribnaya,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/4b6607ab-d82c-4bae-8476-6352a2d1534c/raw/01-8319d447842b.webp,261532
photos/47_myasnaya__myasnaya.webp,Мясная,Пицца,500 г (1200 ккал),400 ₽,"Состав: пицца соус, сыр моцарелла, мясо, помидор Пищевая ценность на порцию: Б55 / Ж55 / У120",https://sushi-crazy.myctlg.ru/product/myasnaya,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/79ad5fd2-3de5-4a1f-a4eb-f0b12aedc876/raw/01-c5f6f4149921.webp,254158
photos/48_pepperoni__pepperoni.webp,Пепперони,"Пицца, Популярное",480 г (1250 ккал),400 ₽,"Состав: колбаса, пицца соус, сыр моцарелла Пищевая ценность на порцию: Б52 / Ж60 / У118",https://sushi-crazy.myctlg.ru/product/pepperoni,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/6ae13cf6-7e79-488f-b29a-093c21a95528/raw/01-806a2abb87ee.webp,247500
photos/49_4_sezona__4-sezona.webp,4 сезона,Пицца,520 г (1280 ккал),400 ₽,"Состав: мясо, кур филе, грибы, сыр моцарелла, колбаса, пицца соус Пищевая ценность на порцию: Б58 / Ж58 / У125",https://sushi-crazy.myctlg.ru/product/4-sezona,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/b61eec7d-1949-4019-b6d2-adda076b0c3e/raw/01-6b74802642fb.webp,235338
photos/50_syrnaya__syrnaya.webp,Сырная,Пицца,470 г (1150 ккал),370 ₽,"Состав: сырный соус, сыр моцарелла, кунжут Пищевая ценность на порцию: Б45 / Ж55 / У120",https://sushi-crazy.myctlg.ru/product/syrnaya,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/0ebd827d-c031-498d-83cd-95d4283a2b0a/raw/01-b8f8e1a863df.webp,211876
photos/51_assorti__assorti.webp,Ассорти,Пицца,520 г (1230 ккал),400 ₽,"Состав: мясо, кур филе, томаты, оливки, грибы, сыр моцарелла, помидор Пищевая ценность на порцию: Б56 / Ж52 / У130",https://sushi-crazy.myctlg.ru/product/assorti,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/bf94da54-8a40-41e6-b645-eb6e70859fef/raw/01-317a4bb0f573.webp,252980
photos/52_kurinaya__kurinaya.webp,Куриная,Пицца,500 г (1180 ккал),400 ₽,"Состав: чесночный соус, кур филе, сыр моцарелла, помидор Пищевая ценность на порцию: Б60 / Ж50 / У120",https://sushi-crazy.myctlg.ru/product/kurinaya,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/3ee06723-ca4b-42e2-9366-3b91167de58e/raw/01-5c594d065d05.webp,233154
photos/53_chesnochnyj_sous__chesnochnyj-sous.webp,Чесночный соус,Соусы,25 г (80 ккал),35 ₽,"Состав: йогурт/сметана, чеснок, огурец, укроп, соль, специи Пищевая ценность на порцию: Б1 / Ж7 / У5",https://sushi-crazy.myctlg.ru/product/chesnochnyj-sous,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/4955ffe5-0787-4852-92b4-57d22dd29165/raw/01-5edc65e7bfa8.webp,247744
photos/54_syrnyj_sous__syrnyj-sous.webp,Сырный соус,Соусы,25 г (110 ккал),35 ₽,"Состав: сырный соус (на основе сыра), сливки/молоко, масло, специи, соль Пищевая ценность на порцию: Б2 / Ж10 / У4",https://sushi-crazy.myctlg.ru/product/syrnyj-sous,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/e37eebc3-6b93-4f2a-b6f5-bf84116e3b90/raw/01-837da3f24183.webp,263466
photos/55_tomatnyj_ketchup__tomatnyj-ketchup.webp,Томатный кетчуп,Соусы,25 г (95 ккал),35 ₽,"Состав: вода питьевая,, паста томатная, сахар, уксус натуральный, соль, ароматизатор натуральный (содержит сельдерей) Пищевая ценность на порцию: Б 0.9 / Ж 0.7/ У 25.0",https://sushi-crazy.myctlg.ru/product/tomatnyj-ketchup,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/da2abd79-c01c-4440-9e59-19b1520ac23a/raw/01-1398898bb618.webp,260652
photos/56_kislo_sladkij__kislo-sladkij.webp,Кисло-сладкий,Соусы,25 г( 110 ккал),35 ₽,"Состав: сахар, вода, пюре абрикосовое концентрированное (содержит антиокислитель аскорбиновую кислоту), уксус натуральный, крахмал кукурузный, соль",https://sushi-crazy.myctlg.ru/product/kislo-sladkij,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/d4f65656-f72d-4569-86c1-5a8a7dc4ffa0/raw/01-1b3dbe73c7a6.webp,355864
photos/57_dobryj_cola__dobryj-cola.webp,Добрый cola,Напитки,330 мл (140 ккал),85 ₽,"Состав: газированный безалкогольный напиток (вода, сахар, краситель карамель, ароматизатор, регулятор кислотности, кофеин) Пищевая ценность на порцию: Б0 / Ж0 / У35",https://sushi-crazy.myctlg.ru/product/dobryj-cola,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/965ee60d-010e-45c0-9be0-7c888d2850c5/raw/01-9130ca8e252e.webp,101524
photos/58_st_om_black_ice_tea_persik__stom-black-ice-tea-persik.webp,ST.OM Black Ice Tea (персик),Напитки,450 мл (180 ккал),100 ₽,"Состав: чёрный чай, вода, сахар, ароматизатор «персик», регулятор кислотности, антиоксидант (в зависимости от партии) Пищевая ценность на порцию: Б0 / Ж0 / У45",https://sushi-crazy.myctlg.ru/product/stom-black-ice-tea-persik,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/021a56a3-58dc-4d0a-a0d7-20daa4ad75cb/raw/01-193d78712072.webp,158314
